vigilance_policy,retrieval_floor_policy,epoch,contraction,rho_probe,within_probe,offclass_weight_mean,acc_epoch,sim_floor_active,floor_delta_ema,top1_top2_margin,top1_sim,top2_sim,vote_entropy,effective_support,max_vote_weight,n_surviving_votes,true_label,top1_label,top1_correct,vote_pred_label,vote_correct,is_blended,offclass_weight,true_margin,margin_bucket
margin,live-delta,0,0.35,0.352181,0.585516,0.009313,0.976562,0.444006,0.594006,0.008622169494628906,0.6004307270050049,0.591808557510376,2.6379148960113525,13.984015464782715,0.17390531301498413,19,0,0,1,0,1,0,0.0,0.30206286907196045,2
margin,live-delta,0,0.35,0.352181,0.585516,0.009313,0.976562,0.444006,0.594006,0.035379767417907715,0.7353907823562622,0.7000110149383545,2.159492254257202,8.666736602783203,0.3169200122356415,20,0,0,1,0,1,0,0.0,0.41424527764320374,2
margin,live-delta,0,0.35,0.352181,0.585516,0.009313,0.976562,0.444006,0.594006,0.027217626571655273,0.7116103172302246,0.6843926906585693,2.488199234008789,12.039576530456543,0.20587852597236633,19,0,0,1,0,1,0,0.0,0.3313353657722473,2
margin,live-delta,0,0.35,0.352181,0.585516,0.009313,0.976562,0.444006,0.594006,0.016528964042663574,0.6873834729194641,0.6708545088768005,2.3950557708740234,10.968810081481934,0.24902230501174927,18,0,0,1,0,1,0,0.0,0.43832558393478394,2
margin,live-delta,0,0.35,0.352181,0.585516,0.009313,0.976562,0.444006,0.594006,0.008610844612121582,0.5470595359802246,0.538448691368103,1.6326254606246948,5.117292404174805,0.31832846999168396,6,0,0,1,0,1,0,0.0,0.3031947910785675,2
margin,live-delta,0,0.35,0.352181,0.585516,0.009313,0.976562,0.444006,0.594006,0.02370673418045044,0.771571934223175,0.7478652000427246,2.279615640640259,9.772923469543457,0.26671528816223145,20,0,0,1,0,1,0,0.0,0.424304723739624,2
margin,live-delta,0,0.35,0.352181,0.585516,0.009313,0.976562,0.444006,0.594006,5.364418029785156e-06,0.7417731285095215,0.7417677640914917,2.4380288124084473,11.450447082519531,0.20207828283309937,19,0,0,1,0,1,0,0.0,0.3559805452823639,2
margin,live-delta,0,0.35,0.352181,0.585516,0.009313,0.976562,0.444006,0.594006,0.011639773845672607,0.6595652103424072,0.6479254364967346,1.6766066551208496,5.347379684448242,0.3019513487815857,7,0,0,1,0,1,0,0.0,0.38858193159103394,2
margin,live-delta,0,0.35,0.352181,0.585516,0.009313,0.976562,0.444006,0.594006,0.03037470579147339,0.7162694334983826,0.6858947277069092,2.2076659202575684,9.094464302062988,0.3169836103916168,20,0,0,1,0,1,0,0.0015440151328220963,0.26622316241264343,2
margin,live-delta,0,0.35,0.352181,0.585516,0.009313,0.976562,0.444006,0.594006,0.02028501033782959,0.6039971113204956,0.583712100982666,2.1573326587677,8.648039817810059,0.2789294421672821,15,0,0,1,0,1,0,0.0,0.22435632348060608,2
margin,live-delta,0,0.35,0.352181,0.585516,0.009313,0.976562,0.444006,0.594006,0.004907429218292236,0.69219970703125,0.6872922778129578,2.4823217391967773,11.96902084350586,0.15966306626796722,19,0,0,1,0,1,0,0.0,0.40449392795562744,2
margin,live-delta,0,0.35,0.352181,0.585516,0.009313,0.976562,0.444006,0.594006,0.0011388063430786133,0.7018934488296509,0.7007546424865723,2.370091676712036,10.698372840881348,0.20869019627571106,20,0,0,1,0,1,0,0.0,0.2803736925125122,2
margin,live-delta,0,0.35,0.352181,0.585516,0.009313,0.976562,0.444006,0.594006,0.05514639616012573,0.6630126237869263,0.6078662276268005,2.1877858638763428,8.915451049804688,0.3673717677593231,17,0,0,1,0,1,0,0.0,0.2356397807598114,2
margin,live-delta,0,0.35,0.352181,0.585516,0.009313,0.976562,0.444006,0.594006,0.006009459495544434,0.7503038644790649,0.7442944049835205,2.197492837905884,9.00241470336914,0.23332518339157104,19,0,0,1,0,1,0,0.0,0.42943423986434937,2
margin,live-delta,0,0.35,0.352181,0.585516,0.009313,0.976562,0.444006,0.594006,0.018333911895751953,0.6064251661300659,0.588091254234314,2.584411144256592,13.255480766296387,0.2069322168827057,18,0,0,1,0,1,0,0.0,0.19201290607452393,2
margin,live-delta,0,0.35,0.352181,0.585516,0.009313,0.976562,0.444006,0.594006,0.012950003147125244,0.7588569521903992,0.7459069490432739,2.458728551864624,11.68993854522705,0.19694441556930542,20,0,0,1,0,1,0,0.0,0.3475671708583832,2
margin,live-delta,0,0.35,0.352181,0.585516,0.009313,0.976562,0.444006,0.594006,0.0015065670013427734,0.7478921413421631,0.7463855743408203,2.036524772644043,7.663928985595703,0.2899724543094635,19,0,0,1,0,1,0,0.0,0.40704986453056335,2
margin,live-delta,0,0.35,0.352181,0.585516,0.009313,0.976562,0.444006,0.594006,0.003239154815673828,0.7349475622177124,0.7317084074020386,2.3093361854553223,10.067739486694336,0.20432744920253754,20,0,0,1,0,1,0,0.0,0.37095555663108826,2
margin,live-delta,0,0.35,0.352181,0.585516,0.009313,0.976562,0.444006,0.594006,0.01325911283493042,0.6607208847999573,0.6474617719650269,2.515947103500366,12.378326416015625,0.17665570974349976,19,0,0,1,0,1,0,0.0,0.32713401317596436,2
margin,live-delta,0,0.35,0.352181,0.585516,0.009313,0.976562,0.444006,0.594006,0.06108903884887695,0.7541711926460266,0.6930821537971497,2.1551060676574707,8.628805160522461,0.4226016104221344,20,0,0,1,0,1,0,0.0,0.41520702838897705,2
margin,live-delta,0,0.35,0.352181,0.585516,0.009313,0.976562,0.444006,0.594006,0.048431217670440674,0.7793107032775879,0.7308794856071472,2.0303757190704346,7.616947650909424,0.43755432963371277,20,0,0,1,0,1,0,0.0,0.5230322480201721,2
margin,live-delta,0,0.35,0.352181,0.585516,0.009313,0.976562,0.444006,0.594006,0.05125159025192261,0.7316722869873047,0.6804206967353821,2.2562544345855713,9.547262191772461,0.3480124771595001,20,0,0,1,0,1,0,0.0,0.40767043828964233,2
