vigilance_policy,retrieval_floor_policy,epoch,contraction,rho_probe,within_probe,offclass_weight_mean,acc_epoch,sim_floor_active,floor_delta_ema,top1_top2_margin,top1_sim,top2_sim,vote_entropy,effective_support,max_vote_weight,n_surviving_votes,true_label,top1_label,top1_correct,vote_pred_label,vote_correct,is_blended,offclass_weight,true_margin,margin_bucket,arm,injection_rate,supersede_epoch,probe_index,top1_slot,failure_mode,contradictory_strict,contradictory_lenient,stale_strict,stale_lenient,n_contra_topk,n_stale_topk,contra_vote_weight,stale_vote_weight
margin,live-delta,0,0.0,0.493996,0.622487,0.101484,0.996094,0.293909,0.443909,0.03762426972389221,0.5110138058662415,0.47338953614234924,1.8186681270599365,6.163643836975098,0.3637932240962982,13,0,0,1,0,1,0,0.0,0.24231114983558655,2,mixed,0.15,6,0,28,CORRECT,0,0,0,0,0,0,0.0,0.0
margin,live-delta,0,0.0,0.493996,0.622487,0.101484,0.996094,0.293909,0.443909,0.15752145648002625,0.5575714111328125,0.40004995465278625,0.23202699422836304,1.2611538171768188,0.9479275345802307,3,0,0,1,0,1,0,0.0,0.32683855295181274,2,mixed,0.15,6,1,3,CORRECT,0,0,0,0,0,0,0.0,0.0
margin,live-delta,0,0.0,0.493996,0.622487,0.101484,0.996094,0.293909,0.443909,0.09297966957092285,0.6945255994796753,0.6015459299087524,0.5770437717437744,1.780766248703003,0.8265451192855835,6,0,0,1,0,1,0,0.0,0.5842553973197937,2,mixed,0.15,6,2,14,CORRECT,0,0,0,0,0,0,0.0,0.0
margin,live-delta,0,0.0,0.493996,0.622487,0.101484,0.996094,0.293909,0.443909,0.08360064029693604,0.4379132091999054,0.35431256890296936,1.984932780265808,7.278558254241943,0.4447590708732605,12,0,0,1,0,1,0,0.0,0.2424943447113037,2,mixed,0.15,6,4,18,CORRECT,0,0,0,0,0,0,0.0,0.0
margin,live-delta,0,0.0,0.493996,0.622487,0.101484,0.996094,0.293909,0.443909,0.0502144992351532,0.3125118613243103,0.2622973620891571,-0.0,1.0,1.0,1,0,0,1,0,1,0,0.0,0.18602803349494934,2,mixed,0.15,6,5,29,CORRECT,0,0,0,0,0,0,0.0,0.0
margin,live-delta,0,0.0,0.493996,0.622487,0.101484,0.996094,0.293909,0.443909,0.03487059473991394,0.29404255747795105,0.2591719627380371,-0.0,1.0,1.0,1,0,0,1,0,1,0,0.0,0.04517936706542969,1,mixed,0.15,6,6,7,CORRECT,0,0,0,0,0,0,0.0,0.0
margin,live-delta,0,0.0,0.493996,0.622487,0.101484,0.996094,0.293909,0.443909,0.009064704179763794,0.32297229766845703,0.31390759348869324,1.593115210533142,4.91904878616333,0.2599036693572998,5,0,0,1,0,1,0,0.0,0.043737202882766724,1,mixed,0.15,6,8,13,CORRECT,0,0,0,0,0,0,0.0,0.0
margin,live-delta,0,0.0,0.493996,0.622487,0.101484,0.996094,0.293909,0.443909,0.023535043001174927,0.47608861327171326,0.45255357027053833,2.1851449012756348,8.891937255859375,0.2706870138645172,15,0,0,1,0,1,0,0.0,0.2989230155944824,2,mixed,0.15,6,9,13,CORRECT,0,0,0,0,0,0,0.0,0.0
margin,live-delta,0,0.0,0.493996,0.622487,0.101484,0.996094,0.293909,0.443909,0.014633744955062866,0.497406005859375,0.48277226090431213,1.8627958297729492,6.441721439361572,0.3323046565055847,13,0,0,1,0,1,0,0.0,0.22393295168876648,2,mixed,0.15,6,10,17,CORRECT,0,0,0,0,0,0,0.0,0.0
margin,live-delta,0,0.0,0.493996,0.622487,0.101484,0.996094,0.293909,0.443909,0.004455119371414185,0.3420550227165222,0.33759990334510803,1.0889761447906494,2.9712305068969727,0.3804748058319092,3,0,0,1,0,1,0,0.0,0.1886293739080429,2,mixed,0.15,6,11,23,CORRECT,0,0,0,0,0,0,0.0,0.0
margin,live-delta,0,0.0,0.493996,0.622487,0.101484,0.996094,0.293909,0.443909,0.09482342004776001,0.413823664188385,0.319000244140625,0.38735267519950867,1.4730758666992188,0.8694912195205688,2,0,0,1,0,1,0,0.0,0.21412937343120575,2,mixed,0.15,6,12,13,CORRECT,0,0,0,0,0,0,0.0,0.0
margin,live-delta,0,0.0,0.493996,0.622487,0.101484,0.996094,0.293909,0.443909,0.08684143424034119,0.566179096698761,0.4793376624584198,0.5323503017425537,1.702929973602295,0.8280272483825684,3,0,0,1,0,1,0,0.0,0.30210933089256287,2,mixed,0.15,6,13,3,CORRECT,0,0,0,0,0,0,0.0,0.0
