vigilance_policy,retrieval_floor_policy,epoch,contraction,rho_probe,within_probe,offclass_weight_mean,acc_epoch,sim_floor_active,floor_delta_ema,top1_top2_margin,top1_sim,top2_sim,vote_entropy,effective_support,max_vote_weight,n_surviving_votes,true_label,top1_label,top1_correct,vote_pred_label,vote_correct,is_blended,offclass_weight,true_margin,margin_bucket,arm,injection_rate,supersede_epoch,probe_index,top1_slot,failure_mode,contradictory_strict,contradictory_lenient,stale_strict,stale_lenient,n_contra_topk,n_stale_topk,contra_vote_weight,stale_vote_weight,served_outcome,abstain_reason
margin,live-delta,0,0.0,0.216874,0.615529,0.005142,0.984375,0.470055,0.620055,0.08858919143676758,0.5616472959518433,0.4730581045150757,0.41450560092926025,1.5136222839355469,0.8546794056892395,2,0,0,1,0,1,0,0.0,0.4110695421695709,2,clean,0.0,-1,0,7,CORRECT,0,0,0,0,0,0,0.0,0.0,answer,
margin,live-delta,0,0.0,0.216874,0.615529,0.005142,0.984375,0.470055,0.620055,0.1748359203338623,0.4902179539203644,0.3153820335865021,-0.0,1.0,1.0,1,0,0,1,0,1,0,0.0,0.2922772765159607,2,clean,0.0,-1,2,17,CORRECT,0,0,0,0,0,0,0.0,0.0,answer,
margin,live-delta,0,0.0,0.216874,0.615529,0.005142,0.984375,0.470055,0.620055,0.057855695486068726,0.5367840528488159,0.4789283573627472,0.5501468181610107,1.733507513999939,0.7608079314231873,2,0,0,1,0,1,0,0.0,0.3594633638858795,2,clean,0.0,-1,6,24,CORRECT,0,0,0,0,0,0,0.0,0.0,answer,
margin,live-delta,0,0.0,0.216874,0.615529,0.005142,0.984375,0.470055,0.620055,0.19785073399543762,0.6366702318191528,0.4388194978237152,-0.0,1.0,1.0,1,0,0,1,0,1,0,0.0,0.44862040877342224,2,clean,0.0,-1,10,24,CORRECT,0,0,0,0,0,0,0.0,0.0,answer,
margin,live-delta,0,0.0,0.216874,0.615529,0.005142,0.984375,0.470055,0.620055,0.08419808745384216,0.5011003613471985,0.4169022738933563,-0.0,1.0,1.0,1,0,0,1,0,1,0,0.0,0.36225682497024536,2,clean,0.0,-1,16,24,CORRECT,0,0,0,0,0,0,0.0,0.0,answer,
margin,live-delta,0,0.0,0.216874,0.615529,0.005142,0.984375,0.470055,0.620055,0.24001169204711914,0.697227954864502,0.4572162628173828,-0.0,1.0,1.0,1,0,0,1,0,1,0,0.0,0.44992733001708984,2,clean,0.0,-1,20,17,CORRECT,0,0,0,0,0,0,0.0,0.0,answer,
margin,live-delta,0,0.0,0.216874,0.615529,0.005142,0.984375,0.470055,0.620055,0.07864773273468018,0.5750564336776733,0.49640870094299316,0.4587221145629883,1.5820510387420654,0.8282042741775513,2,0,0,1,0,1,0,0.0,0.3471987247467041,2,clean,0.0,-1,24,17,CORRECT,0,0,0,0,0,0,0.0,0.0,answer,
margin,live-delta,0,0.0,0.216874,0.615529,0.005142,0.984375,0.470055,0.620055,0.18138855695724487,0.5200752019882202,0.33868664503097534,-0.0,1.0,1.0,1,0,0,1,0,1,0,0.0,0.3415071964263916,2,clean,0.0,-1,30,17,CORRECT,0,0,0,0,0,0,0.0,0.0,answer,
margin,live-delta,0,0.0,0.216874,0.615529,0.005142,0.984375,0.470055,0.620055,0.2848507761955261,0.7049044370651245,0.4200536608695984,-0.0,1.0,1.0,1,0,0,1,0,1,0,0.0,0.547611653804779,2,clean,0.0,-1,32,2,CORRECT,0,0,0,0,0,0,0.0,0.0,answer,
margin,live-delta,0,0.0,0.216874,0.615529,0.005142,0.984375,0.470055,0.620055,0.06539866328239441,0.5084764957427979,0.44307783246040344,-0.0,1.0,1.0,1,0,0,1,0,1,0,0.0,0.29990270733833313,2,clean,0.0,-1,35,2,CORRECT,0,0,0,0,0,0,0.0,0.0,answer,
