vigilance_policy,retrieval_floor_policy,epoch,contraction,rho_probe,within_probe,offclass_weight_mean,acc_epoch,sim_floor_active,floor_delta_ema,top1_top2_margin,top1_sim,top2_sim,vote_entropy,effective_support,max_vote_weight,n_surviving_votes,true_label,top1_label,top1_correct,vote_pred_label,vote_correct,is_blended,offclass_weight,true_margin,margin_bucket
margin,live-delta,0,0.35,0.272109,0.647807,0.00659,0.988281,0.491801,0.641801,0.005053341388702393,0.6028237342834473,0.5977703928947449,2.7769482135772705,16.069904327392578,0.1566665768623352,20,0,0,1,0,1,0,0.0,0.4471108019351959,2
margin,live-delta,0,0.35,0.272109,0.647807,0.00659,0.988281,0.491801,0.641801,0.003587484359741211,0.7130086421966553,0.7094211578369141,2.8044776916503906,16.51844596862793,0.11860839277505875,20,0,0,1,0,1,0,0.0,0.46350613236427307,2
margin,live-delta,0,0.35,0.272109,0.647807,0.00659,0.988281,0.491801,0.641801,0.016640186309814453,0.7194099426269531,0.7027697563171387,2.757338047027588,15.757840156555176,0.16366413235664368,20,0,0,1,0,1,0,0.0,0.530936598777771,2
margin,live-delta,0,0.35,0.272109,0.647807,0.00659,0.988281,0.491801,0.641801,0.005527198314666748,0.706807553768158,0.7012803554534912,2.551609516143799,12.827733993530273,0.19742929935455322,20,0,0,1,0,1,0,0.0,0.5422577857971191,2
margin,live-delta,0,0.35,0.272109,0.647807,0.00659,0.988281,0.491801,0.641801,0.004361987113952637,0.7496050596237183,0.7452430725097656,2.6861138343811035,14.674537658691406,0.14943452179431915,20,0,0,1,0,1,0,0.0,0.5265690088272095,2
margin,live-delta,0,0.35,0.272109,0.647807,0.00659,0.988281,0.491801,0.641801,0.000171661376953125,0.7254880666732788,0.7253164052963257,2.7645602226257324,15.872057914733887,0.14964830875396729,20,0,0,1,0,1,0,0.0,0.47644540667533875,2
margin,live-delta,0,0.35,0.272109,0.647807,0.00659,0.988281,0.491801,0.641801,0.01182490587234497,0.6904698014259338,0.6786448955535889,2.825068712234497,16.862104415893555,0.13574963808059692,20,0,0,1,0,1,0,0.0,0.46314412355422974,2
margin,live-delta,0,0.35,0.272109,0.647807,0.00659,0.988281,0.491801,0.641801,0.001164257526397705,0.6014577150344849,0.6002934575080872,2.8498692512512207,17.2855224609375,0.10152635723352432,20,0,0,1,0,1,0,0.0,0.4327336549758911,2
margin,live-delta,0,0.35,0.272109,0.647807,0.00659,0.988281,0.491801,0.641801,0.0007525086402893066,0.5207637548446655,0.5200112462043762,0.6931189298629761,1.999943494796753,0.5037623643875122,2,0,0,1,0,1,0,0.0,0.2903596758842468,2
margin,live-delta,0,0.35,0.272109,0.647807,0.00659,0.988281,0.491801,0.641801,0.027105629444122314,0.655935525894165,0.6288298964500427,2.7387497425079346,15.467634201049805,0.18628546595573425,20,0,0,1,0,1,0,0.0,0.28207066655158997,2
