query_id,true_class,candidate_slot,candidate_class,rank_in_broad_topK,stage,acc_full,acc_minus_c,delta
0,0,53,0,0,final_survivor,1,1,0
0,0,68,0,1,final_survivor,1,1,0
0,0,86,0,2,final_survivor,1,1,0
0,0,58,0,3,final_survivor,1,1,0
0,0,20,0,4,final_survivor,1,1,0
0,0,0,0,5,final_survivor,1,1,0
0,0,63,0,6,final_survivor,1,1,0
0,0,11,0,7,final_survivor,1,1,0
0,0,90,0,8,final_survivor,1,1,0
0,0,41,0,9,final_survivor,1,1,0
0,0,93,0,10,final_survivor,1,1,0
0,0,24,0,11,final_survivor,1,1,0
0,0,54,0,12,final_survivor,1,1,0
0,0,47,0,13,final_survivor,1,1,0
0,0,32,0,14,final_survivor,1,1,0
0,0,6,0,15,final_survivor,1,1,0
0,0,39,0,16,final_survivor,1,1,0
0,0,56,0,17,final_survivor,1,1,0
0,0,37,0,18,final_survivor,1,1,0
0,0,62,0,19,final_survivor,1,1,0
0,0,16,0,20,final_survivor,1,1,0
0,0,46,0,21,final_survivor,1,1,0
0,0,21,0,22,final_survivor,1,1,0
0,0,2,0,23,final_survivor,1,1,0
0,0,64,0,24,final_survivor,1,1,0
0,0,84,0,25,rerank_drop,1,1,0
0,0,10,0,26,rerank_drop,1,1,0
0,0,87,0,27,rerank_drop,1,1,0
0,0,57,0,28,rerank_drop,1,1,0
0,0,96,0,29,rerank_drop,1,1,0
0,0,78,0,30,rerank_drop,1,1,0
0,0,55,0,31,rerank_drop,1,1,0
0,0,61,0,32,rerank_drop,1,1,0
0,0,27,0,33,rerank_drop,1,1,0
0,0,51,0,34,rerank_drop,1,1,0
0,0,12,0,35,rerank_drop,1,1,0
0,0,33,0,36,rerank_drop,1,1,0
0,0,36,0,37,rerank_drop,1,1,0
0,0,65,0,38,rerank_drop,1,1,0
0,0,1,0,39,rerank_drop,1,1,0
0,0,70,0,40,rerank_drop,1,1,0
0,0,98,0,41,rerank_drop,1,1,0
0,0,88,0,42,rerank_drop,1,1,0
0,0,29,0,43,rerank_drop,1,1,0
0,0,60,0,44,rerank_drop,1,1,0
0,0,38,0,45,rerank_drop,1,1,0
0,0,52,0,46,rerank_drop,1,1,0
0,0,14,0,47,rerank_drop,1,1,0
0,0,89,0,48,rerank_drop,1,1,0
0,0,18,0,49,rerank_drop,1,1,0
0,0,23,0,50,rerank_drop,1,1,0
0,0,71,0,51,rerank_drop,1,1,0
0,0,28,0,52,rerank_drop,1,1,0
0,0,80,0,53,rerank_drop,1,1,0
0,0,9,0,54,rerank_drop,1,1,0
0,0,59,0,55,rerank_drop,1,1,0
0,0,15,0,56,rerank_drop,1,1,0
0,0,4,0,57,rerank_drop,1,1,0
0,0,73,0,58,rerank_drop,1,1,0
0,0,66,0,59,rerank_drop,1,1,0
0,0,95,0,60,rerank_drop,1,1,0
0,0,43,0,61,rerank_drop,1,1,0
0,0,81,0,62,rerank_drop,1,1,0
0,0,92,0,63,rerank_drop,1,1,0
0,0,26,0,64,rerank_drop,1,1,0
0,0,69,0,65,rerank_drop,1,1,0
0,0,31,0,66,rerank_drop,1,1,0
0,0,82,0,67,rerank_drop,1,1,0
0,0,13,0,68,rerank_drop,1,1,0
0,0,99,0,69,rerank_drop,1,1,0
0,0,17,0,70,rerank_drop,1,1,0
0,0,42,0,71,rerank_drop,1,1,0
0,0,44,0,72,rerank_drop,1,1,0
0,0,8,0,73,rerank_drop,1,1,0
0,0,83,0,74,rerank_drop,1,1,0
0,0,67,0,75,rerank_drop,1,1,0
0,0,22,0,76,rerank_drop,1,1,0
0,0,85,0,77,rerank_drop,1,1,0
0,0,50,0,78,rerank_drop,1,1,0
0,0,19,0,79,rerank_drop,1,1,0
0,0,40,0,80,rerank_drop,1,1,0
0,0,94,0,81,rerank_drop,1,1,0
0,0,45,0,82,rerank_drop,1,1,0
0,0,25,0,83,rerank_drop,1,1,0
0,0,35,0,84,rerank_drop,1,1,0
0,0,72,0,85,rerank_drop,1,1,0
0,0,5,0,86,rerank_drop,1,1,0
0,0,75,0,87,rerank_drop,1,1,0
0,0,97,0,88,rerank_drop,1,1,0
0,0,91,0,89,rerank_drop,1,1,0
0,0,49,0,90,rerank_drop,1,1,0
0,0,34,0,91,rerank_drop,1,1,0
0,0,7,0,92,rerank_drop,1,1,0
0,0,3,0,93,rerank_drop,1,1,0
0,0,30,0,94,rerank_drop,1,1,0
0,0,74,0,95,rerank_drop,1,1,0
0,0,7447,86,96,rerank_drop,1,1,0
0,0,7454,86,97,rerank_drop,1,1,0
0,0,7416,86,98,rerank_drop,1,1,0
0,0,610,7,99,rerank_drop,1,1,0
